"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id_clean","gene_symbol"
"ENSG00000123500.10",6460.34770495816,8.0838260799766,0.358890779959765,22.5244741056955,2.38979679251895e-112,9.08481250676079e-108,"ENSG00000123500","COL10A1"
"ENSG00000099953.10",16123.311021405,6.57386227585233,0.332825956664925,19.7516514088191,7.7637146010229e-87,1.47568805278943e-82,"ENSG00000099953","MMP11"
"ENSG00000117650.13",1217.28095860452,5.17147791378305,0.274564796156419,18.8351820268935,3.88788113430531e-79,4.92659337735388e-75,"ENSG00000117650","NEK2"
"ENSG00000090889.12",1236.25609055285,4.45989738844812,0.249238407261212,17.8941016252522,1.31093887534188e-71,1.24588353365304e-67,"ENSG00000090889","KIF4A"
"ENSG00000170509.12",195.390162964913,-6.07654089763452,0.346518736974571,-17.5359663107639,7.61441335767306e-69,5.78923847583882e-65,"ENSG00000170509","HSD17B13"
"ENSG00000137745.12",733.736859710637,7.55063055747426,0.443297286057359,17.0328824356873,4.68391486539851e-65,2.96765039346874e-61,"ENSG00000137745","MMP13"
"ENSG00000183856.11",1842.76948524248,4.37965340421686,0.269955948924471,16.2235854466841,3.4354117602927e-59,1.86567397239324e-55,"ENSG00000183856","IQGAP3"
"ENSG00000230838.1",211.440908074786,5.80990464713417,0.36134294606506,16.0786441534356,3.6017569705123e-58,1.71150989042531e-54,"ENSG00000230838","LINC01614"
"ENSG00000169679.15",1366.18338033341,4.0232396260013,0.252597719289288,15.927458241987,4.0863312733593e-57,1.72602092618615e-53,"ENSG00000169679","BUB1"
"ENSG00000105974.13",22451.4176273307,-3.83115309339687,0.241144450275302,-15.8873782457902,7.75018628355019e-57,2.94623331569161e-53,"ENSG00000105974","CAV1"
"ENSG00000158402.20",289.538026830117,4.03227770229634,0.254762708355546,15.8275821776432,2.00789756908141e-56,6.9391114626027e-53,"ENSG00000158402","CDC25C"
"ENSG00000088325.16",3641.84588957331,4.02095205911979,0.257433666065215,15.6193714698573,5.37326927134917e-55,1.70220692791949e-51,"ENSG00000088325","TPX2"
"ENSG00000286214.1",1070.63993877773,-4.8698146740855,0.311970315564149,-15.6098655260813,6.23683038484087e-55,1.82379313138251e-51,"ENSG00000286214",NA
"ENSG00000138180.16",1060.87256638267,3.90320082067899,0.250885681610361,15.5576866548362,1.41107541107873e-54,3.8315736965827e-51,"ENSG00000138180","CEP55"
"ENSG00000022267.19",28885.8900964292,-5.46421222692795,0.351795811009949,-15.5323402266817,2.09589354902485e-54,5.31169288441197e-51,"ENSG00000022267","FHL1"
"ENSG00000171596.7",180.724518286948,-4.56565752919616,0.294775400144596,-15.488597511721,4.14228360448328e-54,9.84180695152699e-51,"ENSG00000171596","NMUR1"
"ENSG00000126787.13",801.4540735334,3.93207919036486,0.254160574185492,15.4708463457245,5.45846548752571e-54,1.22060920887229e-50,"ENSG00000126787","DLGAP5"
"ENSG00000127564.17",763.064998387727,4.59038461129199,0.297950192374011,15.4065502516265,1.47899231491108e-53,3.12354960285248e-50,"ENSG00000127564","PKMYT1"
"ENSG00000118193.12",623.615564833473,4.48804676684369,0.291851858471843,15.3778248675319,2.30563998246611e-53,4.61310020702365e-50,"ENSG00000118193","KIF14"
"ENSG00000166851.15",1050.70867204453,3.87295607344949,0.251959189571967,15.3713626402313,2.54754268668248e-53,4.84224176171172e-50,"ENSG00000166851","PLK1"
"ENSG00000112984.12",1447.269665967,4.1130256089573,0.26854701082402,15.3158495279346,5.99237883328767e-53,1.08476324451157e-49,"ENSG00000112984","KIF20A"
"ENSG00000066279.18",1467.84732105317,4.34198587218787,0.284079765998139,15.2843897802152,9.71688744757499e-53,1.67903398327074e-49,"ENSG00000066279","ASPM"
"ENSG00000117724.13",5739.52395035039,4.08294507963102,0.267540022652002,15.261062771688,1.38966374666561e-52,2.29687249258666e-49,"ENSG00000117724","CENPF"
"ENSG00000169607.13",547.365294398937,4.07490177049938,0.267095039311797,15.2563738398095,1.49318826675971e-52,2.36514799836961e-49,"ENSG00000169607","CKAP2L"
"ENSG00000143228.13",857.758638954294,4.42727743310866,0.291108560111607,15.2083381931857,3.11346606438084e-52,4.7343364974975e-49,"ENSG00000143228","NUF2"
"ENSG00000134057.15",2369.03295740187,2.93533021089463,0.193477398625716,15.1714372414788,5.466653323064e-52,7.93034849805236e-49,"ENSG00000134057","CCNB1"
"ENSG00000135451.13",550.14816169081,4.05060389951138,0.267023329787752,15.1694756511765,5.63249794679504e-52,7.93034849805236e-49,"ENSG00000135451","TROAP"
"ENSG00000175063.17",1802.02176443062,4.78431041273321,0.316081083921522,15.1363389209367,9.32630598587566e-52,1.26621257876094e-48,"ENSG00000175063","UBE2C"
"ENSG00000105011.9",1214.75828086269,3.32439775437282,0.220726041010171,15.0611941353111,2.91474298663742e-51,3.82082602196625e-48,"ENSG00000105011","ASF1B"
"ENSG00000161888.11",525.752873851947,3.60552488927204,0.239808756179684,15.0350010012582,4.3304179726851e-51,5.4873613077208e-48,"ENSG00000161888","SPC24"
